trace_name,trace_type,anomaly_type,anomaly_details,root_cause_start,root_cause_end,extended_effect_end
2_1_100000_60,bursty_input,bursty_input,,1527535260.0,1527536189.0,1527536250.0
2_1_100000_60,bursty_input,bursty_input,,1527549660.0,1527550579.0,1527550640.0
2_1_100000_60,bursty_input,bursty_input,,1527564060.0,1527564979.0,1527565044.0
4_1_100000_61,bursty_input,bursty_input,,1527276455.0,1527278189.0,1527278261.0
4_1_100000_61,bursty_input,bursty_input,,1527290800.0,1527292589.0,1527292655.0
4_1_100000_61,bursty_input,bursty_input,,1527305200.0,1527306989.0,1527307050.0
4_1_100000_61,bursty_input,bursty_input,,1527319605.0,1527320474.0,1527320510.0
4_1_100000_61,bursty_input,bursty_input,,1527333005.0,1527334874.0,1527334926.0
4_1_100000_61,bursty_input,bursty_input,,1527347375.0,1527349259.0,1527349321.0
4_1_100000_61,bursty_input,bursty_input,,1527361775.0,1527363659.0,1527363726.0
4_1_100000_61,bursty_input,bursty_input,,1527376175.0,1527378059.0,1527378142.0
4_1_100000_61,bursty_input,bursty_input,,1527390575.0,1527392459.0,1527392521.0
5_1_500000_62,bursty_input,bursty_input,,1528311155.0,1528312054.0,1528312127.0
5_1_500000_62,bursty_input,bursty_input,,1528318355.0,1528319254.0,1528319338.0
5_1_500000_62,bursty_input,bursty_input,,1528325555.0,1528326454.0,1528326521.0
5_1_500000_62,bursty_input,bursty_input,,1528332755.0,1528333654.0,1528333726.0
5_1_500000_62,bursty_input,bursty_input,,1528339955.0,1528340854.0,1528340926.0
5_1_500000_62,bursty_input,bursty_input,,1528347155.0,1528348054.0,1528348122.0
5_1_100000_63,bursty_input,bursty_input,,1527457945.0,1527459734.0,1527459793.0
5_1_100000_63,bursty_input,bursty_input,,1527472350.0,1527474134.0,1527474193.0
5_1_100000_63,bursty_input,bursty_input,,1527486750.0,1527488510.0,
5_1_100000_64,bursty_input,bursty_input,,1527627805.0,1527628699.0,1527628760.0
5_1_100000_64,bursty_input,bursty_input,,1527642205.0,1527643099.0,1527643157.0
5_1_100000_64,bursty_input,bursty_input,,1527656605.0,1527657574.0,1527657632.0
6_1_500000_65,bursty_input,bursty_input,,1528311975.0,1528312879.0,1528312941.0
6_1_500000_65,bursty_input,bursty_input,,1528319975.0,1528320879.0,1528320956.0
6_1_500000_65,bursty_input,bursty_input,,1528327975.0,1528328879.0,1528328947.0
